"(Benchmark_method, commit)",Change Parameter Type,Change Variable Type,Move Attribute,Move Method,Extract And Move Method,Change Attribute Type,Extract Method,Parameterize Variable,Inline Method,Change Return Type,Split Attribute,Replace Variable With Attribute,Extract Interface,Inline Variable,Extract Variable,Move Source Folder,Move Class,Extract Class,Push Down Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Merge Variable,Change Package,sum,delta
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,fc382620affc0fedb79d726b6f0c4e4f9bced784)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,df72c88c91a54f3d1d3af2e39499e6102e8e16d5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,df72c88c91a54f3d1d3af2e39499e6102e8e16d5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
