"(Benchmark_method, commit)",Move Class,Extract Method,Change Return Type,Change Attribute Type,Change Variable Type,Extract Superclass,Extract Class,Pull Up Method,Move Method,Inline Method,Extract Variable,Move Source Folder,Change Parameter Type,Pull Up Attribute,Extract And Move Method,Inline Variable,Change Package,Move Attribute,Parameterize Variable,Extract Subclass,Push Down Method,Extract Attribute,Push Down Attribute,Replace Variable With Attribute,Split Variable,Replace Attribute,Extract Interface,Split Parameter,Merge Attribute,Merge Parameter,sum,delta
"(co.elastic.apm.impl.ObjectPoolBenchmark.testNewOperator,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpNoopJsonReporterBenchmark.testSerialization,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.NoopReporterBenchmark.sendPayload,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpVanillaJacksonReporterBenchmark.testReport,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpCborJacksonReporterBenchmark.testReport,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpVanillaJacksonReporterBenchmark.sendPayload,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpMoshiReporterBenchmark.testSerialization,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpVanillaJacksonReporterBenchmark.testSerialization,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpNoopJsonReporterBenchmark.sendPayload,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.stacktrace.StackTraceFactoryBenchmark.testCurrentThreadStackTraceFactoryRecycling,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpMoshiReporterBenchmark.testReport,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.stacktrace.StackTraceFactoryBenchmark.testCurrentThreadStackTraceFactory,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpMoshiReporterBenchmark.sendPayload,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.ObjectPoolBenchmark.testRingBufferObjectPool,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.NoopReporterBenchmark.testReport,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpCborJacksonReporterBenchmark.testSerialization,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpNoopJsonReporterBenchmark.testReport,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.ObjectPoolBenchmark.testThreadLocalObjectPool,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpCborJacksonReporterBenchmark.sendPayload,7e3b21aff82b5ed75331757eec2d7ab5026a4c42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
