"(Benchmark_method, commit)",Change Package,Move Class,Change Attribute Type,Change Parameter Type,Change Variable Type,Move Source Folder,Extract Variable,Extract Method,Inline Method,Move Attribute,Extract And Move Method,Replace Variable With Attribute,Change Return Type,Parameterize Variable,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Inline Variable,Extract Superclass,Extract Class,Pull Up Attribute,Pull Up Method,Move Method,Extract Interface,Split Attribute,Extract Attribute,Merge Variable,Split Parameter,Merge Attribute,Replace Attribute,Split Variable,sum,delta
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianByteArrayBenchmark,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncodeHashMapBenchmarks.testDictionaryEncodeHashMap,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncoderBenchmarks.testEncode,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VarCharBenchmarks.copyFromBenchmark,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.util.ByteFunctionHelpersBenchmarks.equals,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.getNullCountBenchmark,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncodeHashMapBenchmarks.testHashMap,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,e1559f21abfd385b56b9e5c18ba31c997ee581d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity,f180a53b4da5ed932ecb8aa1e56b961cba899e61)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,f180a53b4da5ed932ecb8aa1e56b961cba899e61)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,f180a53b4da5ed932ecb8aa1e56b961cba899e61)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,f180a53b4da5ed932ecb8aa1e56b961cba899e61)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,e362b5d79678873c6209768feee73208d4c2f435)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ByteFunctionHelpersBenchmarks.equals,e362b5d79678873c6209768feee73208d4c2f435)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark,e362b5d79678873c6209768feee73208d4c2f435)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,e362b5d79678873c6209768feee73208d4c2f435)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianByteArrayBenchmark,e362b5d79678873c6209768feee73208d4c2f435)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,e362b5d79678873c6209768feee73208d4c2f435)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,e362b5d79678873c6209768feee73208d4c2f435)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,e362b5d79678873c6209768feee73208d4c2f435)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
