"(Benchmark_method, commit)",Extract Method,Change Attribute Type,Parameterize Variable,Extract Variable,Change Return Type,Replace Variable With Attribute,Change Variable Type,Change Parameter Type,Pull Up Method,Extract Attribute,Move Method,Move Class,Extract Subclass,Pull Up Attribute,Push Down Method,Push Down Attribute,Move Attribute,Inline Method,Extract Class,Inline Variable,Split Variable,Extract And Move Method,Merge Attribute,Split Parameter,Extract Superclass,Split Attribute,Move Source Folder,Change Package,Merge Parameter,Replace Attribute,Extract Interface,Merge Variable,sum,delta
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV3,108747149e9ebc2380b0f92905edbe93034c075a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.stats.codahale.TimerBenchmark.timerTest,108747149e9ebc2380b0f92905edbe93034c075a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV2,108747149e9ebc2380b0f92905edbe93034c075a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV3WithExtraContextDataNoMdc,108747149e9ebc2380b0f92905edbe93034c075a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.checksum.DigestTypeBenchmark.digestManager,108747149e9ebc2380b0f92905edbe93034c075a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.stats.StatsLoggerBenchmark.counterIncrement,108747149e9ebc2380b0f92905edbe93034c075a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV3WithMdc,108747149e9ebc2380b0f92905edbe93034c075a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.stats.StatsLoggerBenchmark.recordLatency,108747149e9ebc2380b0f92905edbe93034c075a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.common.OrderedExecutorBenchmark.submitAndWait,108747149e9ebc2380b0f92905edbe93034c075a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.stats.codahale.TimerBenchmark.timerTestWithSnapshots,108747149e9ebc2380b0f92905edbe93034c075a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV3,cb7b0916978725e4f42814c9ba5824b5dd1b0209)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.stats.codahale.TimerBenchmark.timerTest,cb7b0916978725e4f42814c9ba5824b5dd1b0209)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV2,cb7b0916978725e4f42814c9ba5824b5dd1b0209)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bookkeeper.proto.ProtocolBenchmark.testAddEntryV3WithExtraContextDataNoMdc,cb7b0916978725e4f42814c9ba5824b5dd1b0209)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
