"(Benchmark_method, commit)",Inline Method,Extract Method,Extract Variable,Merge Variable,Change Return Type,Change Attribute Type,Change Parameter Type,Change Variable Type,Inline Variable,Move Attribute,Replace Variable With Attribute,Extract Subclass,Push Down Attribute,Push Down Method,Move Method,Extract And Move Method,Extract Class,Move Class,Merge Attribute,Extract Superclass,Pull Up Attribute,Pull Up Method,Extract Attribute,Parameterize Variable,Extract Interface,Change Package,Merge Parameter,Split Parameter,Split Variable,sum,delta
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithPlanarImageAndXMPMetadata,4d7f6fa6215c7601bbbb0cafb1a45da52c38d9b0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithPlanarImageAndEXIFMetadata,4d7f6fa6215c7601bbbb0cafb1a45da52c38d9b0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageReaderPerformance.testGetMetadata,4d7f6fa6215c7601bbbb0cafb1a45da52c38d9b0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithBufferedImageAndXMPMetadata,4d7f6fa6215c7601bbbb0cafb1a45da52c38d9b0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithBufferedImageAndEXIFMetadata,4d7f6fa6215c7601bbbb0cafb1a45da52c38d9b0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithPlanarImageAndIPTCMetadata,4d7f6fa6215c7601bbbb0cafb1a45da52c38d9b0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageReaderPerformance.testGetCompressionWithUncompressedImage,4d7f6fa6215c7601bbbb0cafb1a45da52c38d9b0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageReaderPerformance.testReadWithMonoResolutionImageAndNoScaleFactor,4d7f6fa6215c7601bbbb0cafb1a45da52c38d9b0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithBufferedImage,4d7f6fa6215c7601bbbb0cafb1a45da52c38d9b0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithBufferedImageAndIPTCMetadata,4d7f6fa6215c7601bbbb0cafb1a45da52c38d9b0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
