"(Benchmark_method, commit)",Extract Method,Extract Variable,Change Return Type,Inline Variable,Change Attribute Type,Move Method,Change Package,Move Class,Extract And Move Method,Change Variable Type,Parameterize Variable,Move Attribute,Change Parameter Type,Inline Method,Pull Up Attribute,Extract Class,Pull Up Method,sum,delta
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleMeterMarkBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.codahaleHistogramBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleCounterIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeSetBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterNoLabelsIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeDecBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeSetBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildDecBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleMeterMarkBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
