"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Variable Type,Change Attribute Type,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Attribute,Move Attribute,Extract And Move Method,Extract Class,Extract Variable,Inline Variable,Replace Variable With Attribute,Move Class,Change Parameter Type,Change Package,Move Source Folder,Move Method,Extract Subclass,Push Down Method,Inline Method,sum,delta
"(org.apache.bcel.BCELBenchmark.generator,54a95d899854ad5a0a7b896f99cd8ba68b89d471)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.apache.bcel.BCELBenchmark.baseline,54a95d899854ad5a0a7b896f99cd8ba68b89d471)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,54a95d899854ad5a0a7b896f99cd8ba68b89d471)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,9be7b6effb23517ec2e23838ba16f469727d9dda)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(org.apache.bcel.BCELBenchmark.baseline,9be7b6effb23517ec2e23838ba16f469727d9dda)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,9be7b6effb23517ec2e23838ba16f469727d9dda)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(org.apache.bcel.BCELBenchmark.generator,20992bfab627d57e74e4623a09db325a244e7d05)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,20992bfab627d57e74e4623a09db325a244e7d05)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,20992bfab627d57e74e4623a09db325a244e7d05)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,a94943098d61f48a5508c2ba32996a0e98eb1704)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,a94943098d61f48a5508c2ba32996a0e98eb1704)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,a94943098d61f48a5508c2ba32996a0e98eb1704)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.generator,387455c408f9de0a9870a215e1e6b9497bef1eff)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,387455c408f9de0a9870a215e1e6b9497bef1eff)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.parser,387455c408f9de0a9870a215e1e6b9497bef1eff)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.generator,cdb2699fdcd74fd4698aa5c66a35c6705e8ced2c)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,cdb2699fdcd74fd4698aa5c66a35c6705e8ced2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.parser,cdb2699fdcd74fd4698aa5c66a35c6705e8ced2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,763333c2572c5ebcb8f1d09c32876da987741c54)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,763333c2572c5ebcb8f1d09c32876da987741c54)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,763333c2572c5ebcb8f1d09c32876da987741c54)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
