"(Benchmark_method, commit)",Change Return Type,Extract And Move Method,Extract Method,Inline Method,Change Attribute Type,Move Method,Change Package,Move Class,Extract Attribute,Change Parameter Type,Change Variable Type,Extract Class,Inline Variable,Extract Variable,Move Attribute,Merge Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Move Source Folder,Replace Variable With Attribute,sum,delta
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,ac46f73b259412122680f217020ad473dc6e8781)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,ac46f73b259412122680f217020ad473dc6e8781)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,ac46f73b259412122680f217020ad473dc6e8781)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,ac46f73b259412122680f217020ad473dc6e8781)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,ac46f73b259412122680f217020ad473dc6e8781)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,ac46f73b259412122680f217020ad473dc6e8781)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,ac46f73b259412122680f217020ad473dc6e8781)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,ac46f73b259412122680f217020ad473dc6e8781)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,190390bf5dd83d6137ca3045902fcecbeafa3227)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,190390bf5dd83d6137ca3045902fcecbeafa3227)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,190390bf5dd83d6137ca3045902fcecbeafa3227)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,190390bf5dd83d6137ca3045902fcecbeafa3227)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,190390bf5dd83d6137ca3045902fcecbeafa3227)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,190390bf5dd83d6137ca3045902fcecbeafa3227)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,190390bf5dd83d6137ca3045902fcecbeafa3227)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,190390bf5dd83d6137ca3045902fcecbeafa3227)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,8b24cd1fb06c8ad86606cf2296892bbb21f90143)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,8b24cd1fb06c8ad86606cf2296892bbb21f90143)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,8b24cd1fb06c8ad86606cf2296892bbb21f90143)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,8b24cd1fb06c8ad86606cf2296892bbb21f90143)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,8b24cd1fb06c8ad86606cf2296892bbb21f90143)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,8b24cd1fb06c8ad86606cf2296892bbb21f90143)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,8b24cd1fb06c8ad86606cf2296892bbb21f90143)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
