"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Attribute Type,Change Parameter Type,Change Variable Type,Extract Variable,Extract Attribute,Inline Variable,Replace Variable With Attribute,Inline Method,Parameterize Variable,Extract Class,Move Method,Move Attribute,Split Parameter,Extract Superclass,Extract And Move Method,Move Class,Extract Interface,Replace Attribute,Pull Up Attribute,Change Package,Extract Subclass,Push Down Attribute,Push Down Method,Pull Up Method,Move Source Folder,sum,delta
"(org.apache.commons.lang3.HashSetvBitSetTest.testBitSet,e99b0dde8ee5069eaee745b62b57b109def4b22c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testHashSet,e99b0dde8ee5069eaee745b62b57b109def4b22c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeExtractRemoveAll,e99b0dde8ee5069eaee745b62b57b109def4b22c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeBitSetRemoveAll,e99b0dde8ee5069eaee745b62b57b109def4b22c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testBitSet,0abfa791934a846a563ee6d4e89eb5e3f92f63de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testHashSet,0abfa791934a846a563ee6d4e89eb5e3f92f63de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeExtractRemoveAll,0abfa791934a846a563ee6d4e89eb5e3f92f63de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeBitSetRemoveAll,0abfa791934a846a563ee6d4e89eb5e3f92f63de)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testBitSet,e863dcb2e7a654af6b8eb5865d8d1d8eee0a6d28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testHashSet,e863dcb2e7a654af6b8eb5865d8d1d8eee0a6d28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
