"(Benchmark_method, commit)",Change Return Type,Extract Class,Move Attribute,Move Method,Extract Method,Change Attribute Type,Change Parameter Type,Move Class,Extract Superclass,Pull Up Attribute,Extract Variable,Change Variable Type,Extract And Move Method,Move Source Folder,Inline Variable,Merge Parameter,Extract Subclass,Push Down Method,Pull Up Method,Parameterize Variable,Push Down Attribute,Inline Method,Merge Variable,Extract Attribute,Change Package,Merge Attribute,Extract Interface,Replace Variable With Attribute,Split Parameter,Split Attribute,Split Variable,Replace Attribute,sum,delta
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,989657d58c34d6c690f27c5dca71df0a08fa0150)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,17a6e803e551165e9802e387d5dbb053bab7f270)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,d6ee27e57974477cc6a6b761f72ecc421b5c330f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,4918f705c1a25c60521a5a1c0933caec55750b1b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,e66b7671053b2e8ad878fa1041a9c6ed883cda5c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,9b5f8d96179d12aee748ab78c20f6a379c570c50)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,1f6f834f71ad91560acbe3c744af07832934452f)",0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,2817206096ecc47096226db80571cd156b37a958)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,03c2f67dee21b4a6d38c484b4e7f68a933672d51)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,704ba3d728a8df0c8056cb3d8d67e6c5cfdaa746)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
