"(Benchmark_method, commit)",Move Source Folder,Extract Method,Change Variable Type,Parameterize Variable,Extract Variable,Inline Method,Change Attribute Type,Extract Class,Move Attribute,Change Return Type,Extract And Move Method,Change Parameter Type,Move Class,Extract Superclass,Pull Up Method,Inline Variable,Change Package,Pull Up Attribute,Merge Parameter,Merge Variable,Move Method,Replace Variable With Attribute,Split Variable,Extract Subclass,Push Down Method,Push Down Attribute,Extract Interface,sum,delta
"(feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,be8f30d6ae2eb3fadcfbcd1f08002511ec9e64cf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,be8f30d6ae2eb3fadcfbcd1f08002511ec9e64cf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,be8f30d6ae2eb3fadcfbcd1f08002511ec9e64cf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract,be8f30d6ae2eb3fadcfbcd1f08002511ec9e64cf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,be8f30d6ae2eb3fadcfbcd1f08002511ec9e64cf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,be8f30d6ae2eb3fadcfbcd1f08002511ec9e64cf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.DecoderIteratorsBenchmark.decode,be8f30d6ae2eb3fadcfbcd1f08002511ec9e64cf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,be8f30d6ae2eb3fadcfbcd1f08002511ec9e64cf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,99bbcba6f1c124f0277b24b4a2304fbcf9917962)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,99bbcba6f1c124f0277b24b4a2304fbcf9917962)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
