"(Benchmark_method, commit)",Add Parameter,Add Attribute Annotation,Remove Attribute Annotation,Extract Variable,Change Variable Type,Change Attribute Type,Inline Method,Remove Parameter,Move Class,Extract Method,Extract And Move Method,Change Parameter Type,Change Return Type,Add Method Annotation,Extract Class,Move Attribute,Parameterize Variable,Move Method,Replace Variable With Attribute,Modify Method Annotation,Remove Method Annotation,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Extract Superclass,Extract Interface,Split Attribute,Inline Variable,Remove Class Annotation,Add Class Annotation,Extract Attribute,Pull Up Attribute,Pull Up Method,Split Parameter,Merge Attribute,Change Package,Reorder Parameter,Merge Variable,Add Parameter Annotation,Remove Parameter Annotation,Modify Attribute Annotation,sum,delta
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,141819782b84154ecc050bdf099b0f00da81dc00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteOneByOne,141819782b84154ecc050bdf099b0f00da81dc00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.fetchOneByOne,141819782b84154ecc050bdf099b0f00da81dc00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.curl,141819782b84154ecc050bdf099b0f00da81dc00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.PearlDiverBenchmark.search,141819782b84154ecc050bdf099b0f00da81dc00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.pairCurl,141819782b84154ecc050bdf099b0f00da81dc00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.persistOneByOne,141819782b84154ecc050bdf099b0f00da81dc00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.dropAll,141819782b84154ecc050bdf099b0f00da81dc00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,86640aea9425b0947530616fb643b7030c65f427)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteOneByOne,86640aea9425b0947530616fb643b7030c65f427)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
