"(Benchmark_method, commit)",Extract Method,Change Variable Type,Replace Variable With Attribute,Extract Variable,Change Return Type,Change Attribute Type,Replace Attribute,Move Attribute,Pull Up Attribute,Move Method,Extract And Move Method,Inline Method,Parameterize Variable,Inline Variable,Change Parameter Type,Move Class,Extract Attribute,Extract Superclass,Extract Class,Pull Up Method,Push Down Attribute,Push Down Method,Move Source Folder,Split Attribute,Extract Interface,Extract Subclass,Change Package,Merge Parameter,Split Variable,Merge Variable,Split Parameter,Merge Attribute,sum,delta
"(org.eclipse.jetty.io.jmh.ByteBufferBenchmark.testInDirectArray,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.server.jmh.ListVsMapBenchmark.testLinkedHashMap,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheBenchmark.testDateCacheFormatNow,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.requestlog.jmh.RequestLogBenchmark.testHandle,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.thread.strategy.jmh.EWYKBenchmark.testStrategy,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.log.LogCondensePackageStringBenchmark.testCondensePackage,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.server.jmh.DeflaterPoolBenchmark.testPool,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheSimpleDateFormatBenchmark.testDateCacheFormatNow,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.io.jmh.ByteBufferBenchmark.testDirect,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.thread.jmh.ThreadPoolBenchmark.testSome,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.thread.jmh.ThreadPoolBenchmark.testMany,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.StringIsEmptyBenchmark.mediumIsEmpty,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheSimpleDateFormatBenchmark.testDateCacheNow,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.StringIsEmptyBenchmark.longIsEmpty,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.io.jmh.ByteBufferBenchmark.testInDirect,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheNoTickBenchmark.testDateCacheTimestamp,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.server.jmh.ListVsMapBenchmark.testHashMapAndLinkedList,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.thread.jmh.ThreadPoolBenchmark.testFew,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheBenchmark.testDateCacheTimestamp,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.server.jmh.ListVsMapBenchmark.testHashMapAndArrayList,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.requestlog.jmh.RequestLogBenchmark.testIterate,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.server.jmh.ListVsMapBenchmark.testArrayList,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheSimpleDateFormatBenchmark.testDateCacheTimestamp,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.requestlog.jmh.RequestLogBenchmark.testFixed,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheBenchmark.testDateCacheNow,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.server.jmh.ListVsMapBenchmark.testLinkedList,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheNoTickBenchmark.testDateCacheNow,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.StringIsEmptyBenchmark.shortIsEmpty,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheNoTickBenchmark.testDateCacheFormatNow,cbc4768cae54fd013485e852875a97bab7451774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.io.jmh.ByteBufferBenchmark.testInDirectArray,5d267963a3016d4810d10aa272f512247c0f3b60)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.B64CodeBenchmark.testJettyEncode,5d267963a3016d4810d10aa272f512247c0f3b60)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.B64CodeBenchmark.testJavaDecode,5d267963a3016d4810d10aa272f512247c0f3b60)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheBenchmark.testDateCacheFormatNow,5d267963a3016d4810d10aa272f512247c0f3b60)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.requestlog.jmh.RequestLogBenchmark.testHandle,5d267963a3016d4810d10aa272f512247c0f3b60)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.thread.strategy.jmh.EWYKBenchmark.testStrategy,5d267963a3016d4810d10aa272f512247c0f3b60)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.B64CodeBenchmark.testJavaEncode,5d267963a3016d4810d10aa272f512247c0f3b60)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.http.jmh.MultiPartBenchmark.testLargeGenerated,5d267963a3016d4810d10aa272f512247c0f3b60)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
