"(Benchmark_method, commit)",Inline Method,Extract Method,Extract Attribute,Extract And Move Method,Extract Variable,Change Return Type,Change Attribute Type,Change Parameter Type,Change Variable Type,Move Class,Extract Class,Move Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Parameterize Variable,Inline Variable,Move Attribute,Replace Variable With Attribute,Push Down Method,Extract Interface,Change Package,Extract Subclass,Push Down Attribute,Move Source Folder,Merge Parameter,Merge Attribute,Split Parameter,Split Attribute,sum,delta
"(io.jooby.internal.ChiBenchmark.paramMatch,34e4360c3ebe625c8ba1bf89a1f4eac3ba94009a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,34e4360c3ebe625c8ba1bf89a1f4eac3ba94009a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,ebe813e6ac653248a2fdf99df3e9a2fcebf9b4bb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,ebe813e6ac653248a2fdf99df3e9a2fcebf9b4bb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,f3943d8799405472eae860e0846b4789b659eae1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,f3943d8799405472eae860e0846b4789b659eae1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,1716ba251db9a66645784eaca49c5d103d67f4f7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,1716ba251db9a66645784eaca49c5d103d67f4f7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,1716ba251db9a66645784eaca49c5d103d67f4f7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,6616b2ed947d1aedfb43ebecae08683e4106b786)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,6616b2ed947d1aedfb43ebecae08683e4106b786)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,b1a553edb4e6e64f97c225cb863ad00ab87506d9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,b1a553edb4e6e64f97c225cb863ad00ab87506d9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,b1a553edb4e6e64f97c225cb863ad00ab87506d9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,34ecee6e928ddec2ba512eba20130df1ccaa1219)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,34ecee6e928ddec2ba512eba20130df1ccaa1219)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,292b9be1a059ceb298f4b6567dbdb2e65faf9862)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,292b9be1a059ceb298f4b6567dbdb2e65faf9862)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,292b9be1a059ceb298f4b6567dbdb2e65faf9862)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,6c2f81766cd7c1cb9b4d35df87cdc08d5247a4b7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,6c2f81766cd7c1cb9b4d35df87cdc08d5247a4b7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,e853e6a2eaea5f6a3af7771d0f0bb5ac46cd33fb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,e853e6a2eaea5f6a3af7771d0f0bb5ac46cd33fb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,e853e6a2eaea5f6a3af7771d0f0bb5ac46cd33fb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,19fa17c0656d0728617bc4096a08dacd375f4f0e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,19fa17c0656d0728617bc4096a08dacd375f4f0e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,19fa17c0656d0728617bc4096a08dacd375f4f0e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,ae799df2f7ce42cfd050f15957b11f6705768bc5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,ae799df2f7ce42cfd050f15957b11f6705768bc5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,fec780f6a196d0c983a2576521241db6ad14a2ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,fec780f6a196d0c983a2576521241db6ad14a2ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,bd514d01313bb73661445c2e93b516e3a14a03f7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,bd514d01313bb73661445c2e93b516e3a14a03f7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,ca033c5644ec8d64a53fd741624d102f4e6e54cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,ca033c5644ec8d64a53fd741624d102f4e6e54cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,da0aa6d1401d5058b4e2cb6802f51d134b433c2f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,da0aa6d1401d5058b4e2cb6802f51d134b433c2f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,4a1995bfd8dc7e5e0c20c9efac1796a0d99fe3d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,4a1995bfd8dc7e5e0c20c9efac1796a0d99fe3d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,8aedf11626257d66e01af58c4d55a04a3cd9e2ce)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.jooby.internal.ChiBenchmark.staticMatch,8aedf11626257d66e01af58c4d55a04a3cd9e2ce)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.jooby.internal.ChiBenchmark.paramMatch,0802a80dee9b747d030d91717bf7c70f0f7f2159)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,0802a80dee9b747d030d91717bf7c70f0f7f2159)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,77b52e6fbc293a791ea0a8d00308100cdeb15e93)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,77b52e6fbc293a791ea0a8d00308100cdeb15e93)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,3d396b132ade804f496e86c9bf362b8b99b89385)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,3d396b132ade804f496e86c9bf362b8b99b89385)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,86051f07ba4eeac67ba7e5deb7fbbf2a5d72f1b4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,86051f07ba4eeac67ba7e5deb7fbbf2a5d72f1b4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,77d8e578837780f5a719ba6f7be8096d13128bc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,77d8e578837780f5a719ba6f7be8096d13128bc7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,cfc3588a3d3d289718e6d54a44a04096ce45ea11)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,cfc3588a3d3d289718e6d54a44a04096ce45ea11)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.paramMatch,1f5710dcbc690ebc3bac8489a187967b5c07caae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.staticMatch,1f5710dcbc690ebc3bac8489a187967b5c07caae)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,047942723a5ec040c8c0709269be5c4e077101c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,047942723a5ec040c8c0709269be5c4e077101c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,047942723a5ec040c8c0709269be5c4e077101c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articlesEdit,9a0d0f54501437b663efed7ca16d59433bb7b359)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark._plaintext,9a0d0f54501437b663efed7ca16d59433bb7b359)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.jooby.internal.ChiBenchmark.articles,9a0d0f54501437b663efed7ca16d59433bb7b359)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
