"(Benchmark_method, commit)",Extract Variable,Change Variable Type,Move Method,Merge Parameter,Extract Superclass,Pull Up Method,Extract Method,Pull Up Attribute,Change Parameter Type,Move Attribute,Change Return Type,Change Attribute Type,Extract Attribute,Merge Attribute,Inline Variable,Extract And Move Method,Extract Class,Replace Variable With Attribute,Inline Method,Parameterize Variable,Merge Variable,Move Class,Split Attribute,Extract Interface,Extract Subclass,Push Down Method,Push Down Attribute,Move Source Folder,Split Variable,Split Parameter,Replace Attribute,Change Package,sum,delta
"(io.netty.microbench.headers.HeadersBenchmark.http2AddAllFastest,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufAllocatorBenchmark.unpooledDirectAllocAndFree,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.SwappedByteBufBenchmark.swappedByteBufSetInt,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.SlicedByteBufBenchmark.writeAsciiStringSliceAbstract,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeUtf8,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeAsciiString,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.IsValidIpV4Benchmark.isValidIpV4AddressNew,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.channel.epoll.EpollSocketChannelBenchmark.pingPong,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.HeadersBenchmark.httpAddAllFastest,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.SwappedByteBufBenchmark.swappedByteBufSetLong,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.ReadOnlyHttp2HeadersBenchmark.readOnlyServerHeaders,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.HeadersBenchmark.http2Put,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
