"(Benchmark_method, commit)",Change Attribute Type,Extract Method,Extract Superclass,Extract Variable,Change Variable Type,Change Parameter Type,Change Return Type,Pull Up Method,Extract Class,Move Attribute,Pull Up Attribute,Inline Method,Inline Variable,Move Source Folder,Move Class,Replace Variable With Attribute,Move Method,Extract Interface,Push Down Attribute,Push Down Method,Parameterize Variable,Extract And Move Method,Replace Attribute,Extract Subclass,Extract Attribute,Change Package,sum,delta
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,3506e758425a6f5cd1f55cfae83eaf79d3cb0d3a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,7fdd2b2f0f32178128fb515658a64b1e2e18513f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,bc1cd15d54268032b14918b6741864f483deaee7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,bc1cd15d54268032b14918b6741864f483deaee7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,bc1cd15d54268032b14918b6741864f483deaee7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,bc1cd15d54268032b14918b6741864f483deaee7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,bc1cd15d54268032b14918b6741864f483deaee7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,bc1cd15d54268032b14918b6741864f483deaee7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,bc1cd15d54268032b14918b6741864f483deaee7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
