"(Benchmark_method, commit)",Change Variable Type,Change Attribute Type,Extract Method,Change Parameter Type,Change Return Type,Extract And Move Method,Inline Variable,Extract Variable,Merge Variable,Extract Class,Move Attribute,Inline Method,Merge Parameter,Replace Variable With Attribute,Move Class,Move Method,Parameterize Variable,Extract Attribute,Extract Subclass,Push Down Method,Push Down Attribute,Change Package,Split Attribute,Extract Superclass,Split Parameter,Move Source Folder,Pull Up Attribute,Pull Up Method,Merge Attribute,Extract Interface,Split Variable,sum,delta
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,eaa32159ecfd0eda02af5120e253a64744646cd0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,eaa32159ecfd0eda02af5120e253a64744646cd0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,49e437d0c22ac027cd3eb581f652a94e80c3f6f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,49e437d0c22ac027cd3eb581f652a94e80c3f6f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,552e4ae7813511ed3eb8ee7d9aa9da714e7d0956)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,552e4ae7813511ed3eb8ee7d9aa9da714e7d0956)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,88fb4855a0fe48a9fca0ff5af1ed8077e6d92eff)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,88fb4855a0fe48a9fca0ff5af1ed8077e6d92eff)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,9dd4bc28b2f1c7eb720e92d870d95b4d73fe4105)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,9dd4bc28b2f1c7eb720e92d870d95b4d73fe4105)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,5495f5c244e8035ad1c2d97a4d4d817aac1a862e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,5495f5c244e8035ad1c2d97a4d4d817aac1a862e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,01cb7714ff11d6f361dd5fd68b65e12029413b63)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,01cb7714ff11d6f361dd5fd68b65e12029413b63)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,937f3f8508e620807f9e7dd6ef92a64000e09421)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,937f3f8508e620807f9e7dd6ef92a64000e09421)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
