"(Benchmark_method, commit)",Extract Method,Inline Method,Change Attribute Type,Change Variable Type,Change Return Type,Change Parameter Type,Move Attribute,Move Class,Split Attribute,Extract Class,Move Method,Extract Variable,Pull Up Method,Extract And Move Method,Merge Parameter,Extract Superclass,Inline Variable,Move Source Folder,Change Package,Extract Subclass,Push Down Method,Push Down Attribute,Merge Variable,Parameterize Variable,Extract Attribute,Replace Variable With Attribute,Merge Attribute,Extract Interface,Pull Up Attribute,Replace Attribute,sum,delta
"(zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.SpanBenchmarks.buildClientSpan,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.EndpointBenchmarks.parseIpv4_addr,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.BufferBenchmarks.writeLongLe,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.writeClientSpan_java,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3_protobuf,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.BufferBenchmarks.utf8SizeInBytes_chinese,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.BufferBenchmarks.writeVarint_32,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readTenClientSpans_json,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.readClientSpan_java,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
