"(Benchmark_method, commit)",Add Parameter,Remove Method Annotation,Modify Parameter Annotation,Add Class Annotation,Move Source Folder,Extract Method,Change Variable Type,Parameterize Variable,Extract Variable,Inline Method,Change Attribute Type,Extract Class,Move Attribute,Add Method Annotation,Remove Parameter,Remove Class Annotation,Change Return Type,Inline Variable,Extract And Move Method,Change Parameter Type,Move Method,Move Class,Extract Superclass,Pull Up Method,Modify Method Annotation,Change Package,Pull Up Attribute,Remove Attribute Annotation,Merge Parameter,Reorder Parameter,Merge Variable,Add Parameter Annotation,Remove Parameter Annotation,Add Attribute Annotation,Replace Variable With Attribute,Modify Class Annotation,Split Variable,Extract Subclass,Push Down Method,Push Down Attribute,Extract Interface,sum,delta
"(feign.benchmark.DecoderIteratorsBenchmark.decode,2bf779638473967b49faddcdca85b11bd595de7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,2bf779638473967b49faddcdca85b11bd595de7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,2bf779638473967b49faddcdca85b11bd595de7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,2bf779638473967b49faddcdca85b11bd595de7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,2bf779638473967b49faddcdca85b11bd595de7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract,2bf779638473967b49faddcdca85b11bd595de7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,2bf779638473967b49faddcdca85b11bd595de7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,2bf779638473967b49faddcdca85b11bd595de7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.DecoderIteratorsBenchmark.decode,99bbcba6f1c124f0277b24b4a2304fbcf9917962)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,99bbcba6f1c124f0277b24b4a2304fbcf9917962)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
