"(Benchmark_method, commit)",Remove Method Annotation,Change Return Type,Move Method,Extract Variable,Inline Method,Change Parameter Type,Add Method Annotation,Move Class,Extract Method,Inline Variable,Add Parameter,Extract Superclass,Pull Up Attribute,Pull Up Method,Extract And Move Method,Extract Attribute,Change Attribute Type,Remove Parameter,Change Variable Type,Modify Attribute Annotation,Add Attribute Annotation,Merge Attribute,Modify Method Annotation,Move And Inline Method,Extract Class,Move Attribute,Move Source Folder,Add Class Annotation,Modify Class Annotation,Change Package,Replace Variable With Attribute,Remove Class Annotation,Remove Attribute Annotation,Merge Variable,Reorder Parameter,Parameterize Variable,Split Attribute,Extract Interface,Push Down Method,Remove Parameter Annotation,Add Parameter Annotation,sum,delta
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,89663935d403f5e3b5132ba6f93659b7c2d488e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,89663935d403f5e3b5132ba6f93659b7c2d488e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,89663935d403f5e3b5132ba6f93659b7c2d488e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,89663935d403f5e3b5132ba6f93659b7c2d488e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,01903853d90a4246ef11612a7b8360bb53664b88)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,01903853d90a4246ef11612a7b8360bb53664b88)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,01903853d90a4246ef11612a7b8360bb53664b88)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,01903853d90a4246ef11612a7b8360bb53664b88)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,92fd0cb92cd876e01384418b6dbcae557a8a630c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,92fd0cb92cd876e01384418b6dbcae557a8a630c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
