"(Benchmark_method, commit)",Add Parameter,Remove Parameter,Extract Method,Extract Attribute,Extract Variable,Add Method Annotation,Extract Class,Move Method,Remove Method Annotation,Pull Up Method,Move Source Folder,Change Parameter Type,Extract And Move Method,Change Attribute Type,Change Variable Type,Change Return Type,Remove Parameter Annotation,Extract Interface,Add Class Annotation,Replace Attribute,Extract Superclass,Pull Up Attribute,Remove Class Annotation,Change Package,Move Class,Replace Variable With Attribute,Inline Method,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Move Attribute,Modify Method Annotation,Inline Variable,Parameterize Variable,Split Attribute,Move And Inline Method,Add Parameter Annotation,Merge Variable,Split Parameter,Reorder Parameter,Split Variable,sum,delta
"(org.apache.arrow.adapter.jdbc.JdbcAdapterBenchmarks.consumeBenchmark,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ByteFunctionHelpersBenchmarks.arrowBufEquals,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ByteFunctionHelpersBenchmarks.arrowBufArrayEquals,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.adapter.AvroAdapterBenchmarks.testAvroToArrow,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(org.apache.arrow.vector.VectorLoaderBenchmark.loadBenchmark,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VectorUnloaderBenchmark.unloadBenchmark,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VarCharBenchmarks.copyFromBenchmark,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.setSafeFromArray,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,01d3b75b02715ca26dc27c9a50da04606f4f1363)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
