"(Benchmark_method, commit)",Extract Variable,Extract Method,Add Method Annotation,Change Return Type,Change Variable Type,Change Attribute Type,Add Attribute Annotation,Extract Superclass,Pull Up Method,Pull Up Attribute,Add Class Annotation,Extract Attribute,Move Attribute,Extract And Move Method,Extract Class,Add Parameter,Inline Variable,Replace Variable With Attribute,Remove Method Annotation,Move Class,Change Parameter Type,Change Package,Move Source Folder,Remove Attribute Annotation,Move Method,Extract Subclass,Push Down Method,Remove Parameter,Inline Method,Remove Class Annotation,sum,delta
"(org.apache.bcel.BCELBenchmark.generator,ff5344694261cef3d3d68b71d663073d6ac7d0d0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,ff5344694261cef3d3d68b71d663073d6ac7d0d0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,ff5344694261cef3d3d68b71d663073d6ac7d0d0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,db6cf117a225ff973a44972c5fba128b1228a99d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,db6cf117a225ff973a44972c5fba128b1228a99d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,db6cf117a225ff973a44972c5fba128b1228a99d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.parser,387455c408f9de0a9870a215e1e6b9497bef1eff)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.generator,387455c408f9de0a9870a215e1e6b9497bef1eff)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,387455c408f9de0a9870a215e1e6b9497bef1eff)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,763333c2572c5ebcb8f1d09c32876da987741c54)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,763333c2572c5ebcb8f1d09c32876da987741c54)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,763333c2572c5ebcb8f1d09c32876da987741c54)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.parser,02f53e4fa6ec7fa339c8c9273183669d7f5928c9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.generator,02f53e4fa6ec7fa339c8c9273183669d7f5928c9)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,02f53e4fa6ec7fa339c8c9273183669d7f5928c9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.parser,885b0a0a353275739c9b1658a8384fdbf6a9af2b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.generator,885b0a0a353275739c9b1658a8384fdbf6a9af2b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,885b0a0a353275739c9b1658a8384fdbf6a9af2b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,ae887bde4df5b1f61ff418635a51925d2d94aacc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.apache.bcel.BCELBenchmark.baseline,ae887bde4df5b1f61ff418635a51925d2d94aacc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,ae887bde4df5b1f61ff418635a51925d2d94aacc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.apache.commons.bcel6.BCELBenchmark.parser,25aeeeff73ce086ce4fb7d2e108b981f445d3b28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.generator,25aeeeff73ce086ce4fb7d2e108b981f445d3b28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,25aeeeff73ce086ce4fb7d2e108b981f445d3b28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.parser,5582eced547b24a37737683f04784fdab0847859)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.generator,5582eced547b24a37737683f04784fdab0847859)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,5582eced547b24a37737683f04784fdab0847859)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,e6c768ec51eadc2662c198937e8ef6da7e4ec8d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,e6c768ec51eadc2662c198937e8ef6da7e4ec8d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,e6c768ec51eadc2662c198937e8ef6da7e4ec8d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,5e2febea94ae56db7fd0729e808625f7be1f6a32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,5e2febea94ae56db7fd0729e808625f7be1f6a32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,5e2febea94ae56db7fd0729e808625f7be1f6a32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,3513fe3566dd9ae7792f21581f6f94eb5c02adcb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,3513fe3566dd9ae7792f21581f6f94eb5c02adcb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
