"(Benchmark_method, commit)",Add Parameter,Extract Method,Change Variable Type,Remove Method Annotation,Move Source Folder,Add Class Annotation,Move Class,Inline Method,Change Attribute Type,Change Return Type,Change Parameter Type,Extract Attribute,Add Method Annotation,Extract Variable,Inline Variable,Extract And Move Method,Pull Up Method,Move Method,Remove Parameter,Extract Superclass,Extract Class,Extract Subclass,Move Attribute,Push Down Method,Push Down Attribute,Merge Parameter,Merge Variable,Parameterize Variable,Merge Attribute,Replace Variable With Attribute,Modify Class Annotation,Pull Up Attribute,Remove Class Annotation,Modify Method Annotation,Move And Inline Method,Add Parameter Annotation,Add Attribute Annotation,Modify Attribute Annotation,Reorder Parameter,Remove Attribute Annotation,Split Attribute,Remove Parameter Annotation,Extract Interface,Split Parameter,Change Package,Split Variable,Replace Attribute,Modify Parameter Annotation,sum,delta
"(org.apache.hive.benchmark.vectorization.operators.VectorSelectOperatorBench.testVectorSelectBaseForward,92d9f7d331fcf1e9e9c40bda9875491f2484206f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.hive.benchmark.vectorization.mapjoin.MapJoinOneLongKeyBench.MapJoinOneLongKeyOuterRowModeHashMapBench.bench,92d9f7d331fcf1e9e9c40bda9875491f2484206f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.hive.benchmark.vectorization.VectorizedComparisonBench.LongScalarGreaterLongColumnBench.bench,92d9f7d331fcf1e9e9c40bda9875491f2484206f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.hive.benchmark.vectorization.mapjoin.MapJoinOneStringKeyBench.MapJoinOneStringKeyInnerVectorPassThrough_Bench.bench,92d9f7d331fcf1e9e9c40bda9875491f2484206f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.hive.benchmark.vectorization.mapjoin.MapJoinOneStringKeyBench.MapJoinOneStringKeyOuterNativeVectorFastBench.bench,92d9f7d331fcf1e9e9c40bda9875491f2484206f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.hive.benchmark.serde.LazySimpleSerDeBench.WorstLazyDouble.bench,92d9f7d331fcf1e9e9c40bda9875491f2484206f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.hive.benchmark.vectorization.mapjoin.MapJoinOneLongKeyBench.MapJoinOneLongKeyOuterNativeVectorOptimizedBench.bench,92d9f7d331fcf1e9e9c40bda9875491f2484206f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.hive.benchmark.vectorization.mapjoin.MapJoinOneLongKeyBench.MapJoinOneLongKeyOuterRowModeOptimized_Bench.bench,92d9f7d331fcf1e9e9c40bda9875491f2484206f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.hive.benchmark.vectorization.VectorizedComparisonBench.LongColLessLongScalarBench.bench,92d9f7d331fcf1e9e9c40bda9875491f2484206f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.hive.benchmark.vectorization.VectorizedLogicBench.RepeatingColAndColBench.bench,92d9f7d331fcf1e9e9c40bda9875491f2484206f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
