"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Parameter Type,Change Variable Type,Add Method Annotation,Replace Variable With Attribute,Pull Up Method,Extract Variable,Change Attribute Type,Remove Parameter,Add Parameter,Move Class,Merge Parameter,Move Attribute,Modify Method Annotation,Remove Method Annotation,Extract Superclass,Parameterize Variable,Extract And Move Method,Extract Class,Move Method,Extract Attribute,Pull Up Attribute,Move And Inline Method,Add Class Annotation,Inline Method,Split Parameter,Inline Variable,Extract Subclass,Push Down Method,Push Down Attribute,Merge Variable,Merge Attribute,Extract Interface,Remove Attribute Annotation,Remove Class Annotation,Modify Class Annotation,Split Attribute,Reorder Parameter,Add Attribute Annotation,Modify Attribute Annotation,Split Variable,Move Source Folder,Add Parameter Annotation,Replace Attribute,Change Package,Modify Parameter Annotation,Remove Parameter Annotation,sum,delta
"(org.apache.kafka.jmh.cache.LRUCacheBenchmark.testCachePerformance,d9168970dd9cfd815b72db176baa62a9849fcb47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.acl.AclAuthorizerBenchmark.testAuthorizer,d9168970dd9cfd815b72db176baa62a9849fcb47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureSkipIteratorForVariableBatchSize,d9168970dd9cfd815b72db176baa62a9849fcb47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.partition.UpdateFollowerFetchStateBenchmark.updateFollowerFetchStateBench,d9168970dd9cfd815b72db176baa62a9849fcb47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize,d9168970dd9cfd815b72db176baa62a9849fcb47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.acl.AclAuthorizerBenchmark.testAclsIterator,d9168970dd9cfd815b72db176baa62a9849fcb47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.fetcher.ReplicaFetcherThreadBenchmark.testFetcher,d9168970dd9cfd815b72db176baa62a9849fcb47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.partition.PartitionMakeFollowerBenchmark.testMakeFollower,d9168970dd9cfd815b72db176baa62a9849fcb47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.partition.UpdateFollowerFetchStateBenchmark.updateFollowerFetchStateBenchNoChange,d9168970dd9cfd815b72db176baa62a9849fcb47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureValidation,d9168970dd9cfd815b72db176baa62a9849fcb47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
