"(Benchmark_method, commit)",Add Parameter,Remove Method Annotation,Move Class,Change Return Type,Change Variable Type,Remove Parameter,Extract Class,Move Attribute,Move Method,Change Parameter Type,Extract Method,Change Attribute Type,Move And Inline Method,Inline Method,Add Method Annotation,Extract Variable,Merge Attribute,Parameterize Variable,Extract And Move Method,Add Class Annotation,Modify Method Annotation,Add Attribute Annotation,Inline Variable,Merge Parameter,Split Parameter,Extract Superclass,Extract Subclass,Pull Up Method,Push Down Method,Push Down Attribute,Extract Interface,Add Parameter Annotation,Modify Class Annotation,Remove Parameter Annotation,Replace Variable With Attribute,Remove Attribute Annotation,Move Source Folder,Reorder Parameter,Merge Variable,Pull Up Attribute,Remove Class Annotation,Extract Attribute,Change Package,Split Attribute,Remove Variable Annotation,Add Variable Annotation,Split Variable,Replace Attribute,sum,delta
"(io.crate.execution.engine.reader.JsonReaderBenchmark.measureFileReadingIteratorForJson,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanSelectWithMultiPrimaryKeyLookup,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeHashInnerJoinWithHashCollisions,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanSimpleSelect,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.collect.collectors.OrderedLuceneBatchIteratorBenchmark.measureLoadAndConsumeOrderedLuceneBatchIterator,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithoutRepeat,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanInsertFromValues,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeNestedLoopJoin,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeNestedLoopLeftJoin,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.aggregation.AggregateCollectorBenchmark.measureAggregateCollector,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.types.StringTypeTest.booleanConversion,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeBatchIterator,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.sort.SortingTopNCollectorBenchmark.measureBoundedSortingCollector,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.analyze.PreExecutionBenchmark.measureParseAndAnalyzeSimpleSelect,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelect,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.reader.CsvReaderBenchmark.measureFileReadingIteratorForCSV,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.jobs.CheckFreeMemoryAlternativeMethodsBenchmark.benchmarkRuntimeMethod,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOffHeap,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeCloseAssertingIterator,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeBlockNestedLoopJoin,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.jobs.CheckFreeMemoryAlternativeMethodsBenchmark.benchmarkMemoryMXBeanMethod,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.sort.SortingTopNCollectorBenchmark.measureUnboundedSortingCollector,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur128,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measureListSort,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupingOnSortedNumericDocValues,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupingOnLongArray,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur64,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupingOnNumericDocValues,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.analyze.PreExecutionBenchmark.measureAnalyzeSimpleSelect,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeHashInnerJoin,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.protocols.postgres.QueryStringSplitterBenchmark.checkSimpleQuery,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.distribution.merge.SortedPagingIteratorBenchmark.measurePagingIteratorWithSort,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.aggregation.GroupingLongCollectorBenchmark.measureGroupBySumLong,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.protocols.postgres.QueryStringSplitterBenchmark.checkMultiQuery,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOnHeap,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.execution.engine.aggregation.GroupingStringCollectorBenchmark.measureGroupByMinString,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.crate.analyze.PreExecutionBenchmark.measurePlanSimpleSelect,7b7cb7f6d480a7e77fa4dc640b7b03fae7c7e543)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
