"(Benchmark_method, commit)",Move Class,Add Parameter,Change Variable Type,Add Method Annotation,Change Return Type,Change Attribute Type,Change Parameter Type,Extract Method,Extract Variable,Move Source Folder,Modify Method Annotation,Extract And Move Method,Inline Method,Move Attribute,Remove Parameter,Inline Variable,Extract Class,Add Attribute Annotation,Parameterize Variable,Remove Method Annotation,Pull Up Method,Move And Inline Method,Add Class Annotation,Move Method,Push Down Method,Replace Variable With Attribute,Modify Class Annotation,Extract Superclass,Pull Up Attribute,Change Package,Remove Class Annotation,Remove Attribute Annotation,Merge Parameter,Extract Interface,Extract Subclass,Push Down Attribute,Extract Attribute,Merge Variable,Split Attribute,Merge Attribute,Reorder Parameter,Remove Parameter Annotation,sum,delta
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,f4246df6e436343b3c08080452be92542ad39859)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,b5921d2600c8411a803ba44967fef5ec4c94c9d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,b5921d2600c8411a803ba44967fef5ec4c94c9d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,b5921d2600c8411a803ba44967fef5ec4c94c9d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,b5921d2600c8411a803ba44967fef5ec4c94c9d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,bcae276234b37a66322336cca817d8bdcb2e00a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,bcae276234b37a66322336cca817d8bdcb2e00a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,bcae276234b37a66322336cca817d8bdcb2e00a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,bcae276234b37a66322336cca817d8bdcb2e00a2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,ff51e99b6ff8b439d5cf5143526a9a3050e286d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.base,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.noop,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.SmtOverheadPerf.newRecord,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,77662a0dde9dac8ed8ec6506f7e4a02f644696c1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,e350d74b172bb9505916c8b59556ceb565afd646)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.java,e350d74b172bb9505916c8b59556ceb565afd646)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.javascript,e350d74b172bb9505916c8b59556ceb565afd646)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.core.FilterSmtPerf.groovy,e350d74b172bb9505916c8b59556ceb565afd646)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,13d638fd43e497c6fe7ff3bf47d0abaf7eceab39)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,b44c9fd04f553ee0081af08b2653099fe3d2fe74)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.legacy,b44c9fd04f553ee0081af08b2653099fe3d2fe74)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.debezium.performance.connector.mysql.parser.MySqlDdlParserPerf.antlr,6787d17d547c19285254c3a96ea0ef8c78b1d25f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
