"(Benchmark_method, commit)",Add Parameter,Extract Variable,Extract Class,Move Method,Remove Parameter,Remove Method Annotation,Extract And Move Method,Extract Superclass,Move Class,Add Method Annotation,Change Attribute Type,Change Parameter Type,Change Variable Type,Change Return Type,Replace Variable With Attribute,Merge Parameter,Pull Up Attribute,Pull Up Method,Add Class Annotation,Remove Class Annotation,Move Source Folder,Move Attribute,Inline Variable,Extract Method,Add Attribute Annotation,Modify Class Annotation,Move And Inline Method,Push Down Method,sum,delta
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRaw,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,b5da971ef770581cc4594e3ed370cdd8428b3295)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
