"(Benchmark_method, commit)",Change Parameter Type,Extract Variable,Change Return Type,Inline Variable,Extract Method,Change Variable Type,Remove Parameter,Add Parameter,Remove Method Annotation,Add Method Annotation,Push Down Method,Move Method,Change Attribute Type,Inline Method,Extract Class,Pull Up Method,Extract And Move Method,Remove Class Annotation,Extract Superclass,Pull Up Attribute,Move Class,Extract Interface,Move Attribute,Move And Inline Method,Merge Parameter,Merge Variable,Merge Attribute,Parameterize Variable,Replace Variable With Attribute,Modify Method Annotation,Change Package,Add Class Annotation,Move Source Folder,Add Attribute Annotation,Extract Subclass,Add Parameter Annotation,Push Down Attribute,Extract Attribute,Modify Class Annotation,Reorder Parameter,Remove Attribute Annotation,Split Parameter,Split Attribute,Remove Parameter Annotation,Replace Attribute,Remove Variable Annotation,Split Variable,sum,delta
"(io.vertx.benchmarks.HeadersEncodeBenchmark.nettySmall,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersSetBenchmark.vertxSmall,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.smallBufferJackson,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.smallBufferJackson,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallExactMatch,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.smallBufferDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.runOnContext,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size1,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.netty,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size16,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.vertxOpt,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.smallStringJackson,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.wideStringDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.deepBufferDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.vertx,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.deepStringDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size8,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.wideBufferDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMiss,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.deepStringDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.wideStringDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.smallStringDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.smallStringDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size2,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatch,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.deepBufferJackson,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersSetBenchmark.nettySmall,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMiss,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMatch,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferJackson,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.baseline,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.deepStringJackson,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.smallBufferDatabind,422477991692504b6e86cb5e7426e9d010488bb2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
