"(Benchmark_method, commit)",Extract Variable,Change Variable Type,Extract Method,Move Source Folder,Add Class Annotation,Change Parameter Type,Add Parameter,Move Class,Change Package,Inline Variable,Modify Attribute Annotation,Remove Method Annotation,Change Return Type,Change Attribute Type,Move Method,Extract And Move Method,Add Method Annotation,Modify Method Annotation,Remove Parameter,Inline Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Parameterize Variable,Extract Class,Add Attribute Annotation,Move And Inline Method,Move Attribute,Remove Class Annotation,Replace Variable With Attribute,Extract Interface,Push Down Method,Extract Subclass,Push Down Attribute,Modify Class Annotation,Extract Attribute,Replace Attribute,Merge Parameter,Split Parameter,Remove Attribute Annotation,Add Variable Annotation,Split Attribute,Reorder Parameter,Merge Variable,Modify Parameter Annotation,Add Parameter Annotation,Remove Parameter Annotation,Split Variable,Merge Attribute,Remove Variable Annotation,sum,delta
"(org.eclipse.jetty.io.jmh.ByteBufferBenchmark.testInDirect,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheBenchmark.testDateCacheTimestamp,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.thread.jmh.ThreadPoolBenchmark.testPool,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheSimpleDateFormatBenchmark.testDateCacheNow,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheBenchmark.testDateCacheFormatNow,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.requestlog.jmh.RequestLogBenchmark.testHandle,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.jmh.DateCacheNoTickBenchmark.testDateCacheTimestamp,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.util.thread.strategy.jmh.EWYKBenchmark.testStrategy,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.requestlog.jmh.RequestLogBenchmark.testFixed,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.server.jmh.DeflaterPoolBenchmark.testPool,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.jetty.io.jmh.ByteBufferBenchmark.testDirect,e1674cf4b691ecf7af4f382da9d4f9d8c3b1256d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
