"(Benchmark_method, commit)",Change Return Type,Modify Class Annotation,Extract Class,Move Method,Inline Variable,Change Parameter Type,Change Attribute Type,Modify Method Annotation,Move Attribute,Add Parameter,Extract And Move Method,Extract Attribute,Add Attribute Annotation,Change Package,Move Class,Add Class Annotation,Extract Superclass,Pull Up Method,Inline Method,Extract Method,Add Method Annotation,Change Variable Type,Pull Up Attribute,Extract Variable,Replace Variable With Attribute,Remove Method Annotation,Extract Interface,Remove Parameter,Move Source Folder,Parameterize Variable,Remove Class Annotation,Merge Parameter,Move And Inline Method,Modify Attribute Annotation,Remove Attribute Annotation,Replace Attribute,Extract Subclass,Push Down Method,Push Down Attribute,Merge Attribute,Merge Variable,sum,delta
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct,26a234f8570659ad77e1ab03f183d6ff5002c84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencer,26a234f8570659ad77e1ab03f183d6ff5002c84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ForwardChainingRDFSInferencerBenchmark.initialize,26a234f8570659ad77e1ab03f183d6ff5002c84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencerMultipleTransactions,26a234f8570659ad77e1ab03f183d6ff5002c84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchema,26a234f8570659ad77e1ab03f183d6ff5002c84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,26a234f8570659ad77e1ab03f183d6ff5002c84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactions,26a234f8570659ad77e1ab03f183d6ff5002c84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.NoReasoningBenchmark.initialize,26a234f8570659ad77e1ab03f183d6ff5002c84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoning,26a234f8570659ad77e1ab03f183d6ff5002c84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactionsSchema,26a234f8570659ad77e1ab03f183d6ff5002c84d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
