"(Benchmark_method, commit)",Add Method Annotation,Add Parameter,Extract Method,Remove Method Annotation,Change Variable Type,Pull Up Method,Extract Variable,Change Attribute Type,Change Return Type,Change Parameter Type,Inline Variable,Remove Parameter,Move Attribute,Extract Attribute,Extract And Move Method,Move Class,Parameterize Variable,Extract Subclass,Push Down Attribute,Push Down Method,Inline Method,Move Source Folder,Move Method,Remove Parameter Annotation,Move And Inline Method,Extract Superclass,Modify Method Annotation,Pull Up Attribute,Replace Variable With Attribute,Merge Parameter,Add Class Annotation,Extract Class,Add Parameter Annotation,Split Attribute,Reorder Parameter,Change Package,Merge Attribute,Split Parameter,Remove Attribute Annotation,Remove Class Annotation,Add Attribute Annotation,Split Variable,Modify Class Annotation,Merge Variable,Extract Interface,Remove Variable Annotation,Add Variable Annotation,Modify Attribute Annotation,Replace Attribute,Modify Variable Annotation,sum,delta
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeUnitRoundingUtcDayOfMonthJoda,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.search.aggregations.bucket.terms.LongKeyedBucketOrdsBenchmark.singleBucketIntoSingleImmutableMonmorphicInvocation,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_01,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.DateFormatterBenchmark.parseJavaDate,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_64,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeIntervalRoundingJava,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.fs.AvailableIndexFoldersBenchmark.availableIndexFolderOptimized,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.baseline,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.common.RoundingBenchmark.round,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.DateFormatterBenchmark.parseJodaDate,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
