"(Benchmark_method, commit)",Add Parameter,Extract Variable,Extract Method,Move Method,Extract And Move Method,Change Attribute Type,Change Variable Type,Merge Parameter,Change Parameter Type,Merge Variable,Extract Class,Move Attribute,Remove Parameter,Modify Attribute Annotation,Add Class Annotation,Remove Method Annotation,Change Return Type,Move Class,Add Method Annotation,Modify Class Annotation,Push Down Method,Parameterize Variable,Modify Method Annotation,Inline Method,Extract Superclass,Extract Subclass,Push Down Attribute,Extract Attribute,Pull Up Attribute,Pull Up Method,Move And Inline Method,Inline Variable,Split Parameter,Replace Variable With Attribute,Reorder Parameter,Remove Class Annotation,Replace Attribute,Move Source Folder,Extract Interface,Change Package,Modify Parameter Annotation,Add Attribute Annotation,Split Variable,Merge Attribute,Remove Attribute Annotation,Split Attribute,Add Parameter Annotation,Remove Parameter Annotation,sum,delta
"(water.NewChunkBench.writeNaNConstants,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.colsRowsReadWithFinalChunk,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.mojo.glm.GlmMojoBench.score0_nRows,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.AUCBuilderBench.perRow,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.psvm.SupportVectorScorerBench.bulkScoringParsed,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeFloats,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeIntegersConstants,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.tree.gbm.GbmMojoScoringBench.measureGbmScore0,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.util.IcedHashMapBench.writeReadMap,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCACatOnlyPUBDEV3988Bench.measureImputeMissingScoring,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.colsRowsWithBulkRead,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCAWideDataSetsTrainingBench.measureWideDataSetsBenchTrainingCase,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.rawArrayRead,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCAImputeMissingScoringBench.measureImputeMissingScoring,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCAWideDataSetsScoringBench.measureWideDataSetsBenchScoringCase,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
