"(Benchmark_method, commit)",Add Parameter,Add Method Annotation,Change Attribute Type,Replace Variable With Attribute,Move Class,Change Return Type,Change Variable Type,Move Attribute,Move Method,Change Parameter Type,Remove Parameter,Extract Variable,Extract And Move Method,Extract Method,Reorder Parameter,Add Class Annotation,Modify Class Annotation,Inline Method,Remove Method Annotation,Extract Class,Pull Up Method,Inline Variable,Extract Attribute,Extract Superclass,Pull Up Attribute,Extract Interface,Move Source Folder,Remove Parameter Annotation,Parameterize Variable,Change Package,Add Parameter Annotation,Modify Method Annotation,Split Attribute,Extract Subclass,Push Down Attribute,Push Down Method,Split Variable,Move And Inline Method,Merge Attribute,Merge Parameter,Merge Variable,Split Parameter,Remove Class Annotation,Replace Attribute,Add Variable Annotation,sum,delta
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax_using_ClassCopyProvider,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark2,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark4,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_pairedView,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark5,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_better,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_loopBuilder,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndSlow,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndFast,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark6,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark3,3a79349753f9ef9f56a410cef44ecf2bfdf7392d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax_using_ClassCopyProvider,0c4f0bbaba0e50593e90bd6338f0755caa68d6ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_pairedView,0c4f0bbaba0e50593e90bd6338f0755caa68d6ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax,0c4f0bbaba0e50593e90bd6338f0755caa68d6ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_better,0c4f0bbaba0e50593e90bd6338f0755caa68d6ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_loopBuilder,0c4f0bbaba0e50593e90bd6338f0755caa68d6ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndSlow,0c4f0bbaba0e50593e90bd6338f0755caa68d6ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndFast,0c4f0bbaba0e50593e90bd6338f0755caa68d6ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax_using_ClassCopyProvider,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark2,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark4,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_pairedView,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_LoopBuilder,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.util.FlatCollectionsBenchmark.benchmarkSumList,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark5,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_flatIterable,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopBuilderVsCursorsBenchmark.flatCopy,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_loopBuilder,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_better,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndSlow,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark6,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.util.FlatCollectionsBenchmark.benchmarkSumImg,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopBuilderVsCursorsBenchmark.loopBuilder,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark3,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.gradient_LoopBuilder_MultiThreaded,fb96fa7ae38a98db5bd5f5e6dbc4c47c4c53f758)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.ClassCopyProviderBenchmark.sumMinMax_using_ClassCopyProvider,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark2,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark4,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.LoopPerformanceBenchmark.copy_pairedView,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.imglib2.loops.SyncedPositionablesBenchmark.benchmark5,404a083061f3cef38827b073575e33c891dbf715)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
