"(Benchmark_method, commit)",Add Method Annotation,Add Parameter,Change Variable Type,Merge Variable,Extract Class,Move Method,Move Attribute,Change Return Type,Change Attribute Type,Inline Variable,Change Parameter Type,Extract Variable,Move Class,Remove Parameter,Extract Interface,Extract Attribute,Inline Method,Extract Method,Replace Variable With Attribute,Add Attribute Annotation,Remove Attribute Annotation,Pull Up Attribute,Move And Inline Method,Extract And Move Method,Parameterize Variable,Modify Method Annotation,Remove Method Annotation,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Extract Superclass,Split Attribute,Remove Class Annotation,Add Class Annotation,Pull Up Method,Split Parameter,Merge Attribute,Change Package,Reorder Parameter,Add Parameter Annotation,Remove Parameter Annotation,Modify Attribute Annotation,sum,delta
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.dropAll,739ea7a6d47a9133ca3213b411c90d57f19fd630)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,739ea7a6d47a9133ca3213b411c90d57f19fd630)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.pairCurl,739ea7a6d47a9133ca3213b411c90d57f19fd630)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.CurlBenchmark.curl,739ea7a6d47a9133ca3213b411c90d57f19fd630)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.crypto.PearlDiverBenchmark.search,739ea7a6d47a9133ca3213b411c90d57f19fd630)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteOneByOne,739ea7a6d47a9133ca3213b411c90d57f19fd630)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.fetchOneByOne,739ea7a6d47a9133ca3213b411c90d57f19fd630)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.persistOneByOne,739ea7a6d47a9133ca3213b411c90d57f19fd630)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.dropAll,edfb922fd3f7dc88625e1caacd886798c39753d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.iota.iri.benchmarks.dbbenchmark.RocksDbBenchmark.deleteBatch,edfb922fd3f7dc88625e1caacd886798c39753d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
