"(Benchmark_method, commit)",Extract Variable,Change Attribute Type,Change Variable Type,Move Class,Change Package,Add Method Annotation,Change Parameter Type,Change Return Type,Extract Superclass,Extract Subclass,Extract Class,Pull Up Method,Push Down Method,Push Down Attribute,Move Method,Move Attribute,Move Source Folder,Inline Variable,Remove Method Annotation,Extract Method,Remove Parameter,Modify Method Annotation,Extract Interface,Remove Class Annotation,Add Parameter,Extract And Move Method,Pull Up Attribute,Parameterize Variable,Inline Method,Extract Attribute,Remove Attribute Annotation,Add Class Annotation,Move And Inline Method,Merge Parameter,Modify Parameter Annotation,Merge Variable,Merge Attribute,Replace Variable With Attribute,Add Attribute Annotation,Modify Attribute Annotation,Modify Class Annotation,Add Parameter Annotation,Split Parameter,Reorder Parameter,Split Attribute,Split Variable,Replace Attribute,sum,delta
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,b40bdc1f916a62895c013db10d4c2cb41e62b851)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,17a6e803e551165e9802e387d5dbb053bab7f270)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,2a4dc698b9e2728ad7c8acb551d73d8ba41fe860)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,4918f705c1a25c60521a5a1c0933caec55750b1b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,fda9d7d2e90f6448e5e9f9bfcd4efb7e93070fde)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,e66b7671053b2e8ad878fa1041a9c6ed883cda5c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,2797d298e1579b427241ae7a3f49e4e4ff9670e6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,395c72d8176c343d0b762c5782bcb166251e5304)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,be1985cf712a0c93740411790e9288545579bd7f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,34e0c13839a64a7bfa3c052b6a82c81c746351e7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,1e7994165b8214292ec604465a4df22e49062675)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,e2df454ebd097210c15f14454a86384613ed6c47)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,ac12c9d966666c29f79cbc94522efdc941ada29b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,fd78752790375a727f8501d9ae57e4d2dfbb077a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,4a9e605825a840cc7747216a6d7800fc3623dd4f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,68afe73945a8d67b7b5477aa3e2b6145690cad84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,31bee4a732f6820c6f37a6f0cb4af305ed175508)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,6012f6eca85c88d0a4af0423b27872f8610ae18b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,7f7d694b96cccb32c66701b4cfb64eb330b67132)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,871b89cc3491fa5899a5e93e460cc7f95faebcf5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,7703a541596bfa242e278ddd496245dcd17151d7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,3ac147389a0aeeb6b6e1011dd7c4c2b7a8771185)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,2156c4fc9de3f3822e26c181d40c49f617b7d131)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,e0b79ca5b9791721b13b4347bdef922043660709)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,0743d249d15520b4891b1c69fbe5909088e3e461)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,59dab030e41cd092a040897673b94a5e6aec1af2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,31fb5ca279406cdadad0c926f0962e6ccd6ef4e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,23c3fd51bd930da51496d0d2f370fd161787858f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
