"(Benchmark_method, commit)",Change Attribute Type,Change Return Type,Change Parameter Type,Change Variable Type,Modify Method Annotation,Extract Interface,Extract Class,Move Attribute,Move Method,Remove Parameter,Move Source Folder,Move Class,Remove Method Annotation,Remove Class Annotation,Extract Method,Add Parameter,Extract Variable,Pull Up Attribute,Pull Up Method,Reorder Parameter,Add Method Annotation,Parameterize Variable,Inline Method,Change Package,Remove Parameter Annotation,Extract And Move Method,Move And Inline Method,Add Parameter Annotation,Extract Attribute,Modify Attribute Annotation,Remove Attribute Annotation,Add Attribute Annotation,Modify Class Annotation,Inline Variable,Add Class Annotation,Extract Superclass,Modify Parameter Annotation,Merge Parameter,Push Down Method,Merge Variable,Replace Variable With Attribute,Extract Subclass,Push Down Attribute,Merge Attribute,Split Parameter,Split Variable,Split Attribute,sum,delta
"(org.panda_lang.framework.language.resource.expression.ExpressionBenchmark.testParser,385958cd0e8151c1835805a4aafecc61369b41b5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,385958cd0e8151c1835805a4aafecc61369b41b5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulPanda,385958cd0e8151c1835805a4aafecc61369b41b5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,385958cd0e8151c1835805a4aafecc61369b41b5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulJava,385958cd0e8151c1835805a4aafecc61369b41b5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,385958cd0e8151c1835805a4aafecc61369b41b5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,385958cd0e8151c1835805a4aafecc61369b41b5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.ExpressionBenchmark.testParser,b690a2ae2b757f5e37166116c4dd2361004a09e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,b690a2ae2b757f5e37166116c4dd2361004a09e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulJava,b690a2ae2b757f5e37166116c4dd2361004a09e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,b690a2ae2b757f5e37166116c4dd2361004a09e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,b690a2ae2b757f5e37166116c4dd2361004a09e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulPanda,b690a2ae2b757f5e37166116c4dd2361004a09e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,b690a2ae2b757f5e37166116c4dd2361004a09e5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.ExpressionBenchmark.testParser,ebf80c23f9ed3ff0fbbdb98210ddf602923321b8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,ebf80c23f9ed3ff0fbbdb98210ddf602923321b8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulPanda,ebf80c23f9ed3ff0fbbdb98210ddf602923321b8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,ebf80c23f9ed3ff0fbbdb98210ddf602923321b8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulJava,ebf80c23f9ed3ff0fbbdb98210ddf602923321b8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,ebf80c23f9ed3ff0fbbdb98210ddf602923321b8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,ebf80c23f9ed3ff0fbbdb98210ddf602923321b8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.ExpressionBenchmark.testParser,4f2d176211b6d675479954c9c45ff8720ac1c25e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,4f2d176211b6d675479954c9c45ff8720ac1c25e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulJava,4f2d176211b6d675479954c9c45ff8720ac1c25e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,4f2d176211b6d675479954c9c45ff8720ac1c25e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,4f2d176211b6d675479954c9c45ff8720ac1c25e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulPanda,4f2d176211b6d675479954c9c45ff8720ac1c25e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,4f2d176211b6d675479954c9c45ff8720ac1c25e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulPanda,2a8da3c3a23d415bdd75c57c97840da2315c7b57)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,2a8da3c3a23d415bdd75c57c97840da2315c7b57)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.language.interpreter.pattern.PatternBenchmark.singleKeywordRegex,2a8da3c3a23d415bdd75c57c97840da2315c7b57)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.language.interpreter.pattern.PatternBenchmark.singleKeywordCustom,2a8da3c3a23d415bdd75c57c97840da2315c7b57)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.CurrentTestBenchmark.currentTest,2a8da3c3a23d415bdd75c57c97840da2315c7b57)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulJava,2a8da3c3a23d415bdd75c57c97840da2315c7b57)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
