"(Benchmark_method, commit)",Modify Method Annotation,Extract Variable,Change Parameter Type,Extract Method,Change Return Type,Parameterize Variable,Inline Variable,Add Method Annotation,Add Class Annotation,Remove Class Annotation,Modify Class Annotation,Change Attribute Type,Add Attribute Annotation,Move Method,Modify Parameter Annotation,Change Package,Move Class,Extract And Move Method,Add Parameter,Change Variable Type,Move Attribute,Inline Method,Pull Up Attribute,Extract Class,Modify Attribute Annotation,Remove Attribute Annotation,Remove Method Annotation,Pull Up Method,sum,delta
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeSetBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeSetBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleMeterMarkBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildDecBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.codahaleHistogramBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeDecBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleCounterIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeDecBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterNoLabelsIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
