"(Benchmark_method, commit)",Add Method Annotation,Remove Method Annotation,Modify Method Annotation,Add Parameter,Remove Class Annotation,Inline Variable,Inline Method,Extract Variable,Change Return Type,Change Variable Type,Remove Parameter,Extract Method,Change Parameter Type,Extract Attribute,Move Class,Change Attribute Type,Merge Variable,Move And Inline Method,Push Down Method,Remove Attribute Annotation,Extract Interface,Pull Up Attribute,Add Attribute Annotation,Add Class Annotation,Move Method,Move Source Folder,Extract Subclass,Push Down Attribute,Parameterize Variable,Move Attribute,Pull Up Method,Extract And Move Method,Split Attribute,Extract Superclass,Extract Class,Reorder Parameter,Modify Class Annotation,Add Parameter Annotation,Remove Parameter Annotation,Modify Parameter Annotation,Replace Variable With Attribute,Modify Attribute Annotation,Merge Attribute,Merge Parameter,Replace Attribute,Split Parameter,Add Variable Annotation,Change Package,Remove Variable Annotation,sum,delta
"(net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,bc22f12e1bf942b4e7a49081f48f2538235524f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,bc22f12e1bf942b4e7a49081f48f2538235524f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,bc22f12e1bf942b4e7a49081f48f2538235524f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,bc22f12e1bf942b4e7a49081f48f2538235524f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,bc22f12e1bf942b4e7a49081f48f2538235524f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,bc22f12e1bf942b4e7a49081f48f2538235524f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,bc22f12e1bf942b4e7a49081f48f2538235524f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,bc22f12e1bf942b4e7a49081f48f2538235524f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,bc22f12e1bf942b4e7a49081f48f2538235524f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,bc22f12e1bf942b4e7a49081f48f2538235524f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
