"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Attribute Type,Change Parameter Type,Change Variable Type,Add Attribute Annotation,Add Class Annotation,Add Parameter Annotation,Add Method Annotation,Extract Class,Move Method,Move Attribute,Add Parameter,Remove Class Annotation,Inline Method,Remove Parameter,Modify Class Annotation,Modify Method Annotation,Extract Variable,Remove Method Annotation,Parameterize Variable,Push Down Attribute,Push Down Method,Change Package,Move Class,Inline Variable,Remove Attribute Annotation,Pull Up Method,Move Source Folder,Extract Interface,Modify Parameter Annotation,Modify Attribute Annotation,Extract Superclass,Pull Up Attribute,Merge Variable,Merge Parameter,Replace Variable With Attribute,Remove Parameter Annotation,Reorder Parameter,Merge Attribute,Remove Variable Annotation,Extract And Move Method,sum,delta
"(org.zalando.logbook.LogbookBenchmark.json,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType3,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace1xRequest,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace1xResponse,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.jsonRequest,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.LogbookBenchmark.noop,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType1,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType4,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.jsonResponse,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.LogbookBenchmark.plain,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.zalando.logbook.HeaderBenchmark.replace2xResponse,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonRequest,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonResponse,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace2xRequest,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType2,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.autoconfigurationResponse,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
