commit,project,noperf_methods,perf_methods,ref_noperf_methods,ref_perf_methods,ref_no,ref_per_no
a3cbcb6cec1310351ccc73f3200e2fd13837c4ac,jdbi,1093,140,1,0,2,0
4f6d0373abb68b1398ae84257955dda5c54fc94f,jdbi,1097,130,1,0,1,0
7cd29fcfc6aa3418d00e82173745c16eb7e8662c,jdbi,1070,140,8,0,11,0
e3de95e3757c38272ae6525ee80b02a886929033,jdbi,1122,130,12,0,1,0
0728ee7be782cf80b7f7aba4e38c60e1113b746c,jdbi,1112,151,3,0,2,0
37d7251dadc96ea8a7c80154b35c779a9efd1288,jdbi,1095,129,1,0,1,0
5e6eaf628ac16cf7c725d5bf871dd5cbfd1f7ef5,jdbi,1120,138,0,1,1,1
fce5eddfa2ad375c9eb7efb4cac1ce2b8fc352d9,jdbi,1072,128,1,0,1,0
97d8768f05a47008ed61e0ca763f632b95476bce,jdbi,1133,151,1,0,1,0
65d627d2c113a8c58cfde0dfd2f567a1fbe85d8b,jdbi,1096,241,0,1,1,1
85c18c88da28fd65f6509227ab28bb7e83a5c641,jdbi,1103,154,2,0,2,0
0634052524cf5b229be3852fd90eaf141925f082,jdbi,1070,126,3,1,3,2
1fdb5a32a4044e33f6f20a32ddd78887f2796b4f,jdbi,1156,240,2,0,1,0
a4fe6a9254776ca06f49f39466e9959d25a69a8f,jdbi,1074,144,1,0,1,0
55ae3628f95a17f4ad6443e1c46cdd1bb7efc400,jdbi,1141,238,0,1,3,1
49c67bf1a6bcfa55da64e871eb78a7713b36a092,jdbi,1149,224,2,0,1,0
390b18cf63ec71c3821578d7554c65d4c46b5793,jdbi,1128,245,1,0,1,0
75c9675a789d7dd5e22a0ba1be4242052056de6f,jdbi,1137,228,1,0,3,0
be9a4e7ce2e3b01aa6df6400b512727b272053e7,jdbi,1146,232,1,0,1,0
d01bea0b55162a9e6f29f817b83067876a0a4969,jdbi,1118,140,9,0,7,0
6a68f8fc5d1dc2c160cb991aba106494cafd6bbc,jdbi,1090,151,1,0,3,0
82872f54c3a005bfac3f4d3f0ef97004f6140616,jdbi,1140,242,0,0,1,0
aad0b605631763fa4262f43a960fc8c92f9ecc4f,jdbi,1147,233,2,0,1,0
5415b129eddc97c03c2e7da20f6ab887bbb68cd3,jdbi,1125,142,2,0,2,0
3e9705feba669c288fcd9ca9b6aa41db375217e1,jdbi,1125,131,5,3,3,3
8016ed891f3f1b26da448567347e23a98fcb45cd,jdbi,1073,129,1,0,1,0
d94392caeb09d2bbd3e6959b2b92c468d8f7a941,jdbi,1129,141,4,0,3,0
8c1228a27b25ca3bd285f76c3a3d0ed092b61195,jdbi,1084,153,61,0,25,0
2995e4d7eb45f9f3467ac1555a82964be39dcbfd,jdbi,1087,136,2,0,1,0
d3bc0298cc01edd3614e951fd9ec7a31dd873d28,jdbi,1143,238,5,0,4,0
db75869225ef066d8f0061826614e0f413fb81df,jdbi,1085,138,40,0,18,0
78629b419d35568ef2a1046b1f8e65c42d012b4a,apm-agent-java,510,21,0,0,1,0
7d480a9d95feef77e4da908b8e66746ae02e7239,apm-agent-java,1653,98,2,0,1,0
dbad280925ea3313a26f97e383d7593a851e2359,apm-agent-java,512,19,1,0,1,0
c18e1f1905f6e9b85ea720fbaf3ba7ae108ef6ff,apm-agent-java,1792,99,1,0,2,0
45857cea69a82ac97d5f1bee266f58fbedddb43e,apm-agent-java,1438,100,2,1,2,1
a6bdb6c96d0cc7bb734b94c1096d56df56e6f5c9,apm-agent-java,1424,89,60,0,49,0
043cc50449d53854a9debc427740b420883bec20,apm-agent-java,428,25,1,0,2,0
8d9a50b70d1bc66ede77a484894462d1f82d1f78,apm-agent-java,440,28,2,0,2,0
c0d561735997b528e7f0bd964e27c66562f86a05,apm-agent-java,1691,100,14,0,7,0
246b7d3c77116cd5569eef4ce5ad880b767c7612,apm-agent-java,1661,82,2,0,1,0
93d11aaa904d891d3ef287a7a130bab2fd158ecb,apm-agent-java,822,45,4,0,4,0
6ea644050e2e4dece55bc382eaf43543aa8df504,apm-agent-java,542,42,47,0,5,0
83c698172889d68b49e25da02e9f4693ae8e367e,apm-agent-java,1640,103,0,1,1,1
61b89213e507e12df1e89a88c0092a3940749c39,apm-agent-java,813,57,1,1,1,1
8e44cb51b862572d08ff6c0e44e5fbb5529fd159,apm-agent-java,1467,93,0,3,4,3
97e5790b1280b7f8d3a3ea2e0f7a7dab3678a479,apm-agent-java,479,19,40,0,1,0
5fd874d7c59c820b6b19115e3080d34202ebf4bf,apm-agent-java,1519,100,1,0,1,0
475b8838387f5f885446e2506bb58e94d62a4f03,apm-agent-java,1418,92,2,0,2,0
b7eb8a43ab49a6ac0379e5a73bf6e0081364c51c,apm-agent-java,481,23,2,0,1,0
37d2c5472dd112ce9ce951cfb600fcc4a78a7a56,apm-agent-java,1566,99,1,0,2,0
303e875e87ccb9ba46fd57cb208af784363b6e49,apm-agent-java,477,23,2,0,1,0
281fe932cc3ffb3617f963674d609df69b832267,apm-agent-java,1578,83,2,0,4,0
9448f60455b00ebdf682e24bd5e9759b3e05e734,apm-agent-java,1378,71,1,0,1,0
4ab2b6f358eb040df407d830831d9d03a07eef67,apm-agent-java,1353,64,6,0,5,0
dfff0aa59c7d2a84a88bd705b7c995df7ad36fe2,apm-agent-java,1662,91,1,0,1,0
a5f564c752bdf9a0fc0e03375e3f5098325614be,apm-agent-java,449,23,0,0,5,0
1ca0be8da43984959c71ad17ce203a37a7ba9b9e,apm-agent-java,1331,83,2,0,5,0
10321803028c87f504cb390473ea75c4ac35d99d,apm-agent-java,512,21,5,0,5,0
4047c750da91c452d4762f2342da380af0953411,apm-agent-java,514,23,0,0,1,0
190da128fee8f8fa6d69c746cf58ae1a18b04833,apm-agent-java,478,23,2,0,1,0
4f6fa704e8a7af913fe533806123e7b382c43225,apm-agent-java,485,21,10,0,10,0
9515ec757700af2dd31060cade2f226cb9957c76,apm-agent-java,1534,88,7,1,7,1
d838bb49dcb27dfed1bee5de127bcc026768d3dd,apm-agent-java,1515,107,6,0,6,0
c71292b64a1c2d19fc9cf483bf6bd17a6ff0e517,apm-agent-java,430,22,1,0,1,0
32639e63f94fb70d08871eb864b09c9a9e2808d7,apm-agent-java,1564,103,8,0,7,0
4dab33c620ed943589f4a8047d4e6f51853eb902,apm-agent-java,1589,90,1,0,1,0
f706adc330776bdc315de34c8c7393dcead25d95,apm-agent-java,509,24,0,0,2,0
a275d5781b9febdd18129c9814bfd3753214c7e2,apm-agent-java,1637,95,3,0,2,0
831ab8f805302e3ed92860fb7e6c87423e367a6d,apm-agent-java,1346,64,2,0,1,0
b258d29cceb5656793019724efb535a5d88cc9f5,apm-agent-java,1667,93,1,0,1,0
15f57f4d861bdfa08f200441760edddc4916560f,apm-agent-java,1528,87,7,0,5,0
246bbd27c7697b639e8830fa25f7f9007f4e1de9,apm-agent-java,468,23,2,0,4,0
d1536647758621bc7323299f64ebea70d6bb8be3,apm-agent-java,576,51,2,0,1,0
