project,Analyzed Commits,Refactorings,Methods (mean),Performance-relevant Methods (mean)
apm-agent-java,85,328,1162,63
arrow,38,434,2470,192
camel,327,6059,53440,316
cantaloupe,204,1297,1767,121
Chronicle-Core,1,1,154,3
client_java,6,13,264,35
commons-bcel,25,98,2551,204
debezium,82,417,2843,107
drools,118,885,26909,220
fastjson,34,85,1249,21
feign,12,50,457,107
HdrHistogram,10,55,593,52
iri,29,329,1220,50
JCTools,75,740,870,95
jdbi,31,107,1282,170
jersey,28,435,9338,351
jetty.project,392,2218,12400,86
jooby,59,425,1546,7
logbook,9,103,513,99
logging-log4j2,405,1700,2161,300
netty,88,482,13223,1102
objenesis,10,108,88,11
panda,145,1538,1758,56
presto,810,9558,25527,464
protostuff,11,93,1994,35
pwm,24,560,4551,6
rdf4j,35,240,11004,737
RxJava,16,225,3915,943
SimpleFlatMapper,80,1291,3148,170
vert.x,139,1377,4071,96
zipkin,15,165,1698,249
